ticker,date,mean_finbert_score,mean_vader_score,article_count,computed_at
HDFCBANK.NS,2026-08-25,1.987398718483746e-05,0.4019,1,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-08-26,-0.03291334584355354,-0.296,1,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-08-27,-0.5960666516650235,0.07007999999999999,5,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-08-28,0.3357319776017296,0.21153333333333335,3,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-08-29,-0.39504871551762333,0.04046,5,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-08-30,0.10687075248683363,0.15112222222222224,9,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-08-31,0.10287807935310411,0.16111666666666663,12,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-09-01,0.25392040761653334,-0.04240000000000001,5,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-09-03,-0.4991433887025778,0.2993,4,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-09-06,0.20503681525588036,-0.4404,1,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-09-07,-0.2015618085861206,-0.296,1,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-09-08,0.002833050675690174,-0.296,1,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-09-09,-0.49905419457354583,-0.2787,2,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-09-10,0.0001705429094727151,0.3838,4,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-09-11,-4.8716028686612844e-06,0.5319,1,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-09-12,2.486446828697808e-05,0.42925,2,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-09-13,-1.0654053767211735e-05,0.0,1,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-09-14,-3.976840525865555e-05,-0.07655,2,2026-09-23T05:24:22Z
HDFCBANK.NS,2026-09-15,0.5991823963820935,0.38502000000000003,5,2026-09-23T05:24:22Z
ICICIBANK.NS,2026-08-25,0.498848500828899,0.38634999999999997,2,2026-09-23T05:24:22Z
ICICIBANK.NS,2026-08-28,6.486455822596326e-05,0.0,1,2026-09-23T05:24:22Z
ICICIBANK.NS,2026-08-31,0.004035921054310165,0.0516,1,2026-09-23T05:24:22Z
ICICIBANK.NS,2026-09-01,5.246458749752492e-05,0.6369,1,2026-09-23T05:24:22Z
ICICIBANK.NS,2026-09-02,9.404678227535139e-05,0.0,3,2026-09-23T05:24:22Z
ICICIBANK.NS,2026-09-03,-2.312386641278863e-06,0.0,1,2026-09-23T05:24:22Z
ICICIBANK.NS,2026-09-05,0.00027601877809502184,0.4019,1,2026-09-23T05:24:22Z
ICICIBANK.NS,2026-09-07,-3.468769136816263e-06,0.0,1,2026-09-23T05:24:22Z
ICICIBANK.NS,2026-09-15,5.2501854952424765e-05,0.4939,1,2026-09-23T05:24:22Z
ICICIBANK.NS,2026-09-19,0.00036707725666929036,0.0,1,2026-09-23T05:24:22Z
INFY.NS,2026-08-24,-0.981923365034163,-0.0772,1,2026-09-23T05:24:22Z
INFY.NS,2026-08-28,-0.9944945656461641,0.0,1,2026-09-23T05:24:22Z
INFY.NS,2026-08-29,0.004814017214812338,0.0,1,2026-09-23T05:24:22Z
INFY.NS,2026-08-31,-0.9911764950957149,-0.4019,1,2026-09-23T05:24:22Z
INFY.NS,2026-09-07,-0.9966551733668894,0.0,1,2026-09-23T05:24:22Z
INFY.NS,2026-09-15,0.9982679133536294,0.37095,2,2026-09-23T05:24:22Z
INFY.NS,2026-09-17,3.821629798039794e-05,0.28459999999999996,2,2026-09-23T05:24:22Z
INFY.NS,2026-09-18,0.002256647072499618,-0.128,1,2026-09-23T05:24:22Z
INFY.NS,2026-09-21,2.9378490580711514e-05,0.0,1,2026-09-23T05:24:22Z
RELIANCE.NS,2026-08-26,0.0002109734996338375,0.23835,2,2026-09-23T05:24:22Z
RELIANCE.NS,2026-08-27,-0.9944050000049174,0.2023,1,2026-09-23T05:24:22Z
RELIANCE.NS,2026-08-28,0.9984851330518723,0.4404,1,2026-09-23T05:24:22Z
RELIANCE.NS,2026-08-29,-0.002723637968301773,-0.4939,1,2026-09-23T05:24:22Z
RELIANCE.NS,2026-08-31,-7.947106496430933e-06,0.296,1,2026-09-23T05:24:22Z
RELIANCE.NS,2026-09-01,0.0003552079215296544,0.0,2,2026-09-23T05:24:22Z
RELIANCE.NS,2026-09-03,0.10519602301064879,-0.1779,1,2026-09-23T05:24:22Z
RELIANCE.NS,2026-09-08,2.753449371084571e-05,-0.3612,1,2026-09-23T05:24:22Z
RELIANCE.NS,2026-09-10,7.39580937079154e-05,0.2023,1,2026-09-23T05:24:22Z
RELIANCE.NS,2026-09-11,1.8996695871464908e-05,0.2263,1,2026-09-23T05:24:22Z
RELIANCE.NS,2026-09-15,0.006564287235960364,0.0,1,2026-09-23T05:24:22Z
TCS.NS,2026-08-24,0.2421408878872171,0.105375,4,2026-09-23T05:24:22Z
TCS.NS,2026-08-25,-0.04814465459882437,0.19728333333333334,6,2026-09-23T05:24:22Z
TCS.NS,2026-08-27,4.922459629597142e-05,-0.1027,1,2026-09-23T05:24:22Z
TCS.NS,2026-08-28,0.9987743418702545,0.4376,3,2026-09-23T05:24:22Z
